Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1746,CA-2015-133270,06/06/2015,09/06/2015,First Class,BM-11785,Bryan Mills,Consumer,United States,Rochester,New York,14609.0,East,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,13.36
291,CA-2017-110772,20/11/2017,24/11/2017,Second Class,NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229.0,East,OFF-LA-10004689,Office Supplies,Labels,Avery 512,18.496
348,CA-2018-134306,08/07/2018,12/07/2018,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,24.56
1631,CA-2017-106530,08/05/2017,08/05/2017,Same Day,CL-12565,Clay Ludtke,Consumer,United States,Cleveland,Ohio,44105.0,East,OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,1006.056
1105,CA-2017-112340,21/10/2017,27/10/2017,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Riverside,California,92503.0,West,OFF-PA-10001892,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",22.92
2147,US-2017-152051,25/06/2017,29/06/2017,Standard Class,TS-21160,Theresa Swint,Corporate,United States,York,Pennsylvania,17403.0,East,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,38.088
7742,CA-2016-147816,24/09/2016,26/09/2016,Second Class,CM-11935,Carlos Meador,Consumer,United States,Tucson,Arizona,85705.0,West,TEC-PH-10003095,Technology,Phones,Samsung HM1900 Bluetooth Headset,35.12
434,CA-2017-127369,06/06/2017,07/06/2017,First Class,DB-13060,Dave Brooks,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,714.3
9665,US-2016-120957,07/12/2016,07/12/2016,Same Day,KH-16690,Kristen Hastings,Corporate,United States,Riverside,California,92503.0,West,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,12.96
719,CA-2015-104472,02/06/2015,07/06/2015,Standard Class,CK-12325,Christine Kargatis,Home Office,United States,Orem,Utah,84057.0,West,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,59.808
2719,CA-2018-144827,21/12/2018,27/12/2018,Standard Class,SE-20110,Sanjit Engle,Consumer,United States,Costa Mesa,California,92627.0,West,OFF-ST-10004340,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",124.36
7867,CA-2016-143364,14/07/2016,19/07/2016,Second Class,TG-21310,Toby Gnade,Consumer,United States,Mesa,Arizona,85204.0,West,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",127.764
3799,CA-2018-147760,04/11/2018,05/11/2018,First Class,KL-16555,Kelly Lampkin,Corporate,United States,Greensboro,North Carolina,27405.0,South,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,523.764
1539,CA-2018-121888,15/09/2018,17/09/2018,Second Class,CL-11890,Carl Ludwig,Consumer,United States,Everett,Massachusetts,2149.0,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",16.28
9322,US-2017-111563,04/11/2017,08/11/2017,Standard Class,SM-20005,Sally Matthias,Consumer,United States,Houston,Texas,77041.0,Central,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",11.376
9398,CA-2015-125997,20/09/2015,23/09/2015,First Class,MW-18220,Mitch Webber,Consumer,United States,New York City,New York,10011.0,East,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,30.98
310,CA-2017-142902,12/09/2017,14/09/2017,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,80004.0,West,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136
7330,US-2015-131275,18/03/2015,24/03/2015,Standard Class,SC-20050,Sample Company A,Home Office,United States,Burbank,California,91505.0,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1856.19
5582,CA-2018-163818,04/10/2018,08/10/2018,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Clinton,Maryland,20735.0,East,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,19.98
40,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
4528,US-2018-105046,17/07/2018,23/07/2018,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Rome,New York,13440.0,East,FUR-FU-10004848,Furniture,Furnishings,DAX Solid Wood Frames,39.08
1714,US-2018-124968,08/09/2018,13/09/2018,Second Class,MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,765.625
8598,US-2017-117387,27/10/2017,31/10/2017,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,San Francisco,California,94122.0,West,OFF-BI-10004308,Office Supplies,Binders,Avery Legal 4-Ring Binder,67.136
2408,CA-2018-144589,20/01/2018,25/01/2018,Standard Class,TM-21010,Tamara Manning,Consumer,United States,San Francisco,California,94122.0,West,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,24.2
3772,US-2017-101196,12/05/2017,17/05/2017,Standard Class,FM-14215,Filia McAdams,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",82.368
5670,CA-2017-142405,11/06/2017,15/06/2017,Standard Class,SE-20110,Sanjit Engle,Consumer,United States,Seattle,Washington,98103.0,West,TEC-AC-10003095,Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,389.97
4863,CA-2017-125164,10/11/2017,14/11/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,New York City,New York,10011.0,East,OFF-BI-10001191,Office Supplies,Binders,Canvas Sectional Post Binders,20.368
6871,US-2017-126452,21/08/2017,28/08/2017,Standard Class,SC-20230,Scot Coram,Corporate,United States,Los Angeles,California,90004.0,West,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,47.52
130,US-2017-125969,06/11/2017,10/11/2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004.0,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
6524,CA-2017-129308,07/07/2017,13/07/2017,Standard Class,CC-12100,Chad Cunningham,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-LA-10002945,Office Supplies,Labels,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",10.08
3177,US-2018-132059,23/09/2018,29/09/2018,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Fort Collins,Colorado,80525.0,West,TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,47.984
6368,CA-2018-144848,04/04/2018,05/04/2018,First Class,DS-13030,Darrin Sayre,Home Office,United States,New York City,New York,10009.0,East,TEC-PH-10002262,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,119.02
1221,CA-2015-110184,12/07/2015,16/07/2015,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Los Angeles,California,90036.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,249.75
9241,CA-2018-110310,27/10/2018,02/11/2018,Standard Class,NB-18655,Nona Balk,Corporate,United States,Tallahassee,Florida,32303.0,South,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,5.607
4596,CA-2017-129868,26/12/2017,31/12/2017,Standard Class,MC-18130,Mike Caudle,Corporate,United States,Los Angeles,California,90004.0,West,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,53.97
1618,CA-2016-130022,10/08/2016,16/08/2016,Standard Class,JK-16120,Julie Kriz,Home Office,United States,Eagan,Minnesota,55122.0,Central,OFF-AR-10001915,Office Supplies,Art,Peel-Off China Markers,29.79
7621,US-2015-144078,25/11/2015,29/11/2015,Standard Class,RB-19435,Richard Bierner,Consumer,United States,Los Angeles,California,90004.0,West,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,539.92
1806,US-2017-116729,25/12/2017,28/12/2017,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049.0,West,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,2575.944
8524,CA-2018-133074,21/09/2018,25/09/2018,Standard Class,DB-13615,Doug Bickford,Consumer,United States,San Francisco,California,94109.0,West,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",55.86
4344,CA-2018-105410,19/03/2018,22/03/2018,First Class,ND-18370,Natalie DeCherney,Consumer,United States,San Francisco,California,94110.0,West,TEC-PH-10000038,Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,657.504
1929,US-2018-101539,16/03/2018,18/03/2018,Second Class,VM-21685,Valerie Mitchum,Home Office,United States,Seattle,Washington,98105.0,West,OFF-PA-10001972,Office Supplies,Paper,Xerox 214,6.48
1863,CA-2015-151078,12/11/2015,12/11/2015,Same Day,RF-19840,Roy Französisch,Consumer,United States,San Antonio,Texas,78207.0,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",49.632
5917,US-2016-126977,17/09/2016,23/09/2016,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035.0,East,OFF-ST-10003058,Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,94.6
6605,CA-2017-148852,26/05/2017,31/05/2017,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Santa Ana,California,92704.0,West,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94
4229,CA-2017-113803,24/03/2017,26/03/2017,First Class,VG-21805,Vivek Grady,Corporate,United States,Richmond,Indiana,47374.0,Central,OFF-PA-10001994,Office Supplies,Paper,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",22.48
3996,CA-2016-105627,08/03/2016,12/03/2016,Standard Class,DK-12895,Dana Kaydos,Consumer,United States,Kenosha,Wisconsin,53142.0,Central,FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,860.93
8859,CA-2018-135909,13/10/2018,20/10/2018,Standard Class,JW-15220,Jane Waco,Corporate,United States,Sacramento,California,95823.0,West,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083.96
4043,CA-2015-110786,29/12/2015,02/01/2016,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110.0,West,OFF-LA-10001474,Office Supplies,Labels,Avery 477,274.77
8865,CA-2016-125934,11/09/2016,18/09/2016,Standard Class,SN-20560,Skye Norling,Home Office,United States,Paterson,New Jersey,7501.0,East,OFF-PA-10000556,Office Supplies,Paper,Xerox 208,38.88
2891,CA-2015-142727,29/04/2015,01/05/2015,Second Class,HG-14845,Harry Greene,Consumer,United States,Lake Charles,Louisiana,70601.0,South,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black",51.96
731,US-2017-150861,03/12/2017,06/12/2017,First Class,EG-13900,Emily Grady,Consumer,United States,Oceanside,New York,11572.0,East,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",542.646
213,CA-2016-146262,02/01/2016,09/01/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68
4833,CA-2015-120278,07/11/2015,12/11/2015,Standard Class,MS-17365,Maribeth Schnelling,Consumer,United States,Wausau,Wisconsin,54401.0,Central,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,22.58
8764,CA-2017-112578,29/12/2017,02/01/2018,Standard Class,FO-14305,Frank Olsen,Consumer,United States,Sacramento,California,95823.0,West,OFF-SU-10002557,Office Supplies,Supplies,Fiskars Spring-Action Scissors,27.96
